"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52"
"1",9999,9999,9999,9999,9999,7480.56661393673,9999,3324.1750476421,9999,1714.89986889383,576.873575965688,1014.74358424688,147.92128543062,9999,9999,9999,9999,9999,9999,9999,9999,1366.94749987071,1115.24784064086,1635.78884436720,168.928241117253,237.734193041673,9999,9999,9999,9999,9999,1615.57909878569,6947.65663835609,2282.14279635117,6610.8090482603,1302.54274675936,593.085043016137,237.635071079658,125.60623514828,9999,9999,9999,9999,9999,5417.85318425464,3028.8251764672,8776.0000839905,3214.4165957579,767.95269373215,2188.02042133733,1025.11261525894,525.473759936016
"2",9999,9999,9999,9999,9999,9999,8020.4075392854,3434.60788379695,7471.26196733655,2819.42435223321,723.717087182262,412.635172433927,596.518598605576,9999,9999,9999,9999,9999,9999,9258.15235906944,2035.41132308221,2314.88778220319,1985.51013177161,780.390714983292,361.826314052579,763.40735446377,9999,9999,9999,9999,9999,9999,9999,3782.37078035569,3727.12298745723,2631.51843474442,423.926479988916,1109.93151079278,322.564623852415,9999,9999,9999,9999,9999,9999,2105.07762275065,4804.31502517108,9999,2963.95033970973,1245.63199071107,2049.31743604419,633.415992594884
"3",9999,9999,9999,7631.6765618177,9999,8110.6723001702,9901.21142716832,3624.71150864079,2017.68158864065,995.996228977563,2137.79031872966,562.393935983449,363.014610082007,9999,9999,9999,9999,9999,2857.76454019251,9999,5995.32411673421,4132.70007170419,1027.83587164261,102.049261203031,579.943364154686,94.0527466037636,9999,9999,9999,9999,3169.38971629699,9999,9999,9999,4525.58341376739,8539.3454444428,4134.19661282745,739.501658121477,297.678740350992,9999,9999,9999,9999,9999,9999,9999,5803.21376964855,3066.89279222496,1602.61281194020,548.292345412263,90.5006624741245,354.400085841117
"4",9999,9999,9999,9999,9999,9999,6822.24521203071,1326.96354769397,4784.70869466913,4535.37086810968,1572.85279473632,877.778021937747,353.025938901653,9999,9999,9999,9999,9999,9999,1010.91145682372,9128.05861801162,3840.95132391764,1360.27526991841,833.50209651495,732.027413805245,166.044103260821,9999,9999,9999,9999,9999,2676.39631793314,8461.94697198216,4229.54665340066,9999,1947.74600578733,563.677268909759,421.790041369316,296.275126315565,9999,9999,9999,9999,9999,9999,7567.14668788085,9999,1682.37293135513,1622.30530533619,691.53284904448,89.4246369745861,469.824209779861
"5",9999,9999,9999,9999,1782.95121867628,9999,9999,4803.83566147052,2543.78635692867,3590.63602901133,726.549402116023,363.62634196181,307.284555332538,9999,9999,9999,9999,9999,9999,1193.91192903318,6318.05054697448,3234.82223368174,873.309633534365,908.307666145598,378.320751053335,249.723901077662,9999,9999,9999,9999,7969.41591517353,5136.17132860764,4954.09420718931,2707.75928075753,2953.85055486255,2092.28141540184,524.964602609649,449.526559035078,609.644757627547,9999,9999,9999,9999,9999,5195.82558918457,5229.33956672753,3609.44810194457,4270.40449509955,1181.20802475243,2089.60864446819,194.191206395855,379.378721342023
"6",9999,9999,9999,9999,5274.22647371927,9999,9999,3640.68475956633,2094.89400995791,1845.17227298012,2077.54412055708,278.089327243580,1033.56078523410,9999,9999,9999,9999,9999,9999,9999,6460.90121371844,1307.14891255659,2943.23199705899,1420.30335883888,544.925763262676,33.4169116139591,9999,9999,9999,9999,9999,9999,9999,3821.07606234847,8022.74496153978,3723.91536092819,865.84647971697,2253.45314196103,134.778651276148,9999,9999,9999,9999,9999,7929.07780363093,4411.98862352078,5188.80642573419,5118.14494287288,3588.95719312923,4924.20848875243,587.590831930902,775.590703393049
"7",9999,9999,9999,9999,9999,9999,9199.00569049797,4084.84904665388,1690.15419822874,6840.225885031,1146.55447070354,307.355035451582,987.518252626528,9999,9999,9999,9999,9999,3608.42020032247,5909.10410051181,6538.91014345078,3749.86394349465,1039.76024889893,1677.16608999047,332.965889756091,212.042691077205,9999,9999,9999,9999,9999,7127.29806316884,9425.64328855832,6100.65474747743,1323.88407281451,827.855309063221,704.404893465645,1056.17998957941,169.822307468140,9999,9999,9999,9999,9999,9999,7277.93458389933,5987.84969109537,1606.64656524748,1521.74036673311,3426.17638854527,378.62960905809,94.2394531665763
"8",9999,9999,9999,9999,9999,9999,4751.36656025727,3506.89539268109,2335.40250103388,1567.70601609013,355.088461606219,763.551776501933,461.136873180428,9999,9999,9999,9999,8368.02748620575,9766.7046414916,5688.97851503478,9999,1932.82886980998,1515.69785149911,619.250412520993,859.503838793203,1338.01648724539,9999,9999,9999,9999,9999,9999,9726.2581136528,4356.32213839429,1050.16082507357,84.4012781382122,1562.21522252532,294.839902281854,47.7876439964252,9999,9999,9999,9999,9999,9999,9999,1851.45936574717,8199.60997971214,1672.21340980778,3879.96091065534,689.528499295185,573.769054211033
"9",9999,9999,9999,9999,9999,9999,4641.88479592791,3381.4864756145,2043.23537070757,2708.13126637505,70.0507660119493,708.236074470747,467.918793364455,9999,9999,9999,9999,9999,9999,9308.35894855015,6886.06901655126,2616.31047922352,1773.34356308460,830.227838765434,669.763425790832,645.715159719992,9999,9999,9999,9999,9075.08206061329,9999,9999,3648.7817989995,6138.31977780768,2389.15525966415,315.739549986225,425.448568026242,255.424296863221,9999,9999,9999,9999,9999,2103.19064364153,7715.73855515115,2291.67835882904,1756.73245537060,1460.99380468595,809.341511685671,459.456109222637,309.293633917484
"10",9999,9999,9999,9999,9999,9325.10227357388,9999,6489.38391697228,4681.82176104979,3937.7947477672,577.573897279874,1100.82177540952,436.366625206541,9999,9999,9999,9999,9999,3643.53686133100,9999,6468.61527460252,2168.68555765725,672.1798978524,302.028016637074,508.63703489191,496.735902579674,9999,9999,9999,9999,9999,6892.36696185288,3502.00993987777,3469.5979597119,1004.80551529427,2043.22166696904,1153.77343128979,77.0548855643948,763.558876536633,9999,9999,9999,9999,3027.88305621433,9999,6528.09658854514,4282.61547284429,1642.9097141044,1272.00337916812,1687.48409782948,426.675808322627,317.949484582815
