"","cat.penalty","F","G","ans","mas","d","match.penalty","VAR.fan","var.mismatch.penalty","modulate.by.distinct","distinctiveness","experiment","condition","retrievals","items","critical.retrieval","correct.item","distractor.item","model"
"28",-999,0.85,1,0.45,1.5,0.5,-2.75,0,0,0,0,"agr_embed","UP","agr_with_embed/agr-UP-retrievals.txt","agr_with_embed/agr-UP-items.txt",1,2,1,0
"29",-999,0.85,1,0.45,1.5,0.5,-2.5,0,0,0,0,"agr_embed","UP","agr_with_embed/agr-UP-retrievals.txt","agr_with_embed/agr-UP-items.txt",1,2,1,0
"30",-999,0.85,1,0.45,1.5,0.5,-2.25,0,0,0,0,"agr_embed","UP","agr_with_embed/agr-UP-retrievals.txt","agr_with_embed/agr-UP-items.txt",1,2,1,0.02
"31",-999,0.85,1,0.45,1.5,0.5,-2,0,0,0,0,"agr_embed","UP","agr_with_embed/agr-UP-retrievals.txt","agr_with_embed/agr-UP-items.txt",1,2,1,0.1
"32",-999,0.85,1,0.45,1.5,0.5,-1.75,0,0,0,0,"agr_embed","UP","agr_with_embed/agr-UP-retrievals.txt","agr_with_embed/agr-UP-items.txt",1,2,1,0.36
"33",-999,0.85,1,0.45,1.5,0.5,-1.5,0,0,0,0,"agr_embed","UP","agr_with_embed/agr-UP-retrievals.txt","agr_with_embed/agr-UP-items.txt",1,2,1,1.38
"34",-999,0.85,1,0.45,1.5,0.5,-1.25,0,0,0,0,"agr_embed","UP","agr_with_embed/agr-UP-retrievals.txt","agr_with_embed/agr-UP-items.txt",1,2,1,3.8
"35",-999,0.85,1,0.45,1.5,0.5,-1,0,0,0,0,"agr_embed","UP","agr_with_embed/agr-UP-retrievals.txt","agr_with_embed/agr-UP-items.txt",1,2,1,7.92
"36",-999,0.85,1,0.45,1.5,0.5,-0.75,0,0,0,0,"agr_embed","UP","agr_with_embed/agr-UP-retrievals.txt","agr_with_embed/agr-UP-items.txt",1,2,1,13.7
"37",-999,0.85,1,0.45,1.5,0.5,-0.5,0,0,0,0,"agr_embed","UP","agr_with_embed/agr-UP-retrievals.txt","agr_with_embed/agr-UP-items.txt",1,2,1,18.48
"38",-999,0.85,1,0.45,1.5,0.5,-0.25,0,0,0,0,"agr_embed","UP","agr_with_embed/agr-UP-retrievals.txt","agr_with_embed/agr-UP-items.txt",1,2,1,25.86
